0.1	0.95531	0.95542
0.2	0.91076	0.910979
0.3	0.866491	0.866815
0.4	0.822639	0.823063
0.5	0.779338	0.779855
0.6	0.736714	0.737316
0.7	0.69489	0.695567
0.8	0.653979	0.654721
0.9	0.614088	0.614883
1	0.575314	0.57615
1.1	0.537743	0.538608
1.2	0.501452	0.502335
1.3	0.466509	0.467396
1.4	0.432968	0.433848
1.5	0.400874	0.401736
1.6	0.37026	0.371093
1.7	0.34115	0.341945
1.8	0.313557	0.314305
1.9	0.287482	0.288176
2	0.262919	0.263552
2.1	0.239852	0.240421
2.2	0.218258	0.218758
2.3	0.198104	0.198534
2.4	0.179354	0.179712
2.5	0.161963	0.16225
2.6	0.145883	0.1461
2.7	0.131061	0.13121
2.8	0.11744	0.117525
2.9	0.104961	0.104986
3	0.0935642	0.0935325
3.1	0.083187	0.0831041
3.2	0.0737672	0.0736383
3.3	0.0652424	0.065073
3.4	0.0575511	0.0573469
3.5	0.0506328	0.0503993
3.6	0.0444287	0.0441713
3.7	0.0388818	0.0386059
3.8	0.0339375	0.033648
3.9	0.0295435	0.0292451
4	0.0256503	0.0253473
4.1	0.0222111	0.0219074
4.2	0.0191821	0.018881
4.3	0.0165222	0.0162268
4.4	0.0141934	0.0139063
4.5	0.0121606	0.0118838
4.6	0.0103913	0.0101265
4.7	0.00885584	0.00860452
4.8	0.00752731	0.00729036
4.9	0.00638115	0.0061592
5	0.00539521	0.00518861
5.1	0.00454956	0.00435838
5.2	0.00382634	0.00365043
5.3	0.0032096	0.00304864
5.4	0.00268518	0.00253869
5.5	0.00224055	0.0021079
5.6	0.00186463	0.00174512
5.7	0.00154772	0.00144057
5.8	0.00128132	0.0011857
5.9	0.00105799	0.000973067
6	0.00087132	0.00079623
6.1	0.000715715	0.00064962
6.2	0.000586372	0.000528449
6.3	0.000479157	0.000428616
6.4	0.000390531	0.000346619
6.5	0.000317472	0.000279483
6.6	0.00025741	0.000224684
6.7	0.000208166	0.000180097
6.8	0.000167899	0.00014393
6.9	0.000135058	0.000114685
7	0.000108342	9.11116e-05
7.1	8.6658e-05	7.21686e-05
7.2	6.90974e-05	5.69941e-05
7.3	5.49015e-05	4.48763e-05
7.4	4.34398e-05	3.52297e-05
7.5	3.41889e-05	2.75742e-05
7.6	2.67145e-05	2.15179e-05
7.7	2.06555e-05	1.67416e-05
7.8	1.57109e-05	1.29865e-05
7.9	1.16277e-05	1.00435e-05
8	8.19112e-06	7.74422e-06
8.1	5.2153e-06	5.9534e-06
8.2	2.53535e-06	4.56297e-06
